spectrum_vin (va=0.05) X,spectrum_vin (va=0.05) Y,spectrum_vin (va=0.02) X,spectrum_vin (va=0.02) Y,spectrum_vin (va=0.1) X,spectrum_vin (va=0.1) Y
0,-306.6188516061836,0,-314.5746837916428,0,-300.598251692904
97.65624999999999,-297.8140198155446,97.65624999999999,-305.774819148569,97.65624999999999,-291.7934199022649
195.3125,-293.1994539845587,195.3125,-301.1591946024374,195.3125,-287.1788540712791
292.9687499999999,-288.4525039788792,292.9687499999999,-296.4105455530851,292.9687499999999,-282.4319040655996
390.6249999999999,-283.7769289930646,390.6249999999999,-291.7351076712068,390.6249999999999,-277.756329079785
488.2812499999999,-278.7218126814129,488.2812499999999,-286.6813429831964,488.2812499999999,-272.7012127681332
585.9374999999999,-271.602020429834,585.9374999999999,-279.5607697326878,585.9374999999999,-265.5814205165544
683.5937499999999,-19.99999999999985,683.5937499999999,-27.95880017344061,683.5937499999999,-13.97940008672023
781.2499999999999,-270.548429044034,781.2499999999999,-278.5071534790613,781.2499999999999,-264.5278291307544
878.9062499999999,-276.4385738727272,878.9062499999999,-284.3971248960723,878.9062499999999,-270.4179739594476
976.5624999999999,-279.9254302483585,976.5624999999999,-287.8847245841383,976.5624999999999,-273.9048303350789
1074.21875,-282.4478595472908,1074.21875,-290.4069031621545,1074.21875,-276.4272596340113
1171.875,-284.3180496042819,1171.875,-292.2767672296125,1171.875,-278.2974496910023
1269.53125,-285.675716073565,1269.53125,-293.63342833092,1269.53125,-279.6551161602854
1367.1875,-286.7410131741583,1367.1875,-294.7000392141996,1367.1875,-280.7204132608787
1464.84375,-287.6008888483277,1464.84375,-295.5601151756366,1464.84375,-281.5802889350481
1562.5,-288.3415981937477,1562.5,-296.3010350984097,1562.5,-282.3209982804681
1660.15625,-289.0586907800681,1660.15625,-297.0192845355222,1660.15625,-283.0380908667885
1757.8125,-289.7866732554189,1757.8125,-297.7462018871002,1757.8125,-283.7660733421393
1855.46875,-290.4665180578523,1855.46875,-298.4249647077814,1855.46875,-284.4459181445727
1953.125,-291.0940479295431,1953.125,-299.0523934768287,1953.125,-285.0734480162635
2050.78125,-291.6849424202271,2050.78125,-299.644225542638,2050.78125,-285.6643425069475
2148.4375,-292.1758825284859,2148.4375,-300.1363540976633,2148.4375,-286.1552826152063
2246.09375,-292.5895861551012,2246.09375,-300.5444321156922,2246.09375,-286.5689862418216
2343.75,-293.0073934061065,2343.75,-300.9665836877844,2343.75,-286.9867934928269
2441.40625,-293.3989877468154,2441.40625,-301.3619585002218,2441.40625,-287.3783878335358
2539.0625,-293.7830584859379,2539.0625,-301.7419342966243,2539.0625,-287.7624585726583
2636.71875,-294.1756677501105,2636.71875,-302.1347607712104,2636.71875,-288.1550678368309
2734.375,-294.6008622338987,2734.375,-302.558033832666,2734.375,-288.5802623206191
2832.03125,-294.9303041261306,2832.03125,-302.8864924846072,2832.03125,-288.909704212851
2929.6875,-295.2864442569384,2929.6875,-303.2454875893348,2929.6875,-289.2658443436587
3027.34375,-295.5864382247385,3027.34375,-303.5471672516888,3027.34375,-289.5658383114588
3125,-295.856183266155,3125,-303.8141990533908,3125,-289.8355833528753
3222.65625,-296.1287580656378,3222.65625,-304.0893073531344,3222.65625,-290.1081581523582
3320.3125,-296.4205565213476,3320.3125,-304.3773973242144,3320.3125,-290.399956608068
3417.96875,-296.6948965189189,3417.96875,-304.6499997688111,3417.96875,-290.6742966056393
3515.625,-296.9885003729343,3515.625,-304.9427248343485,3515.625,-290.9679004596547
3613.28125,-297.2472524811825,3613.28125,-305.2130371878679,3613.28125,-291.2266525679029
3710.9375,-297.5230503201976,3710.9375,-305.4807526943957,3710.9375,-291.502450406918
3808.59375,-297.7400063031685,3808.59375,-305.6940695500487,3808.59375,-291.7194063898888
3906.25,-297.9688124317688,3906.25,-305.9267758809882,3906.25,-291.9482125184892
4003.90625,-298.1595628267927,4003.90625,-306.1203314724944,4003.90625,-292.1389629135131
4101.562499999999,-298.3790508179277,4101.562499999999,-306.3407142686323,4101.562499999999,-292.3584509046481
4199.218749999999,-298.5941082974567,4199.218749999999,-306.5535700508292,4199.218749999999,-292.5735083841771
4296.874999999999,-298.8282030538685,4296.874999999999,-306.7878582378926,4296.874999999999,-292.8076031405889
4394.531249999999,-299.0492493016116,4394.531249999999,-307.0061313001179,4394.531249999999,-293.0286493883319
4492.187499999999,-299.2611269758374,4492.187499999999,-307.2190410357057,4492.187499999999,-293.2405270625578
4589.843749999999,-299.4499796304123,4589.843749999999,-307.4086163906586,4589.843749999999,-293.4293797171327
4687.499999999999,-299.6416142239148,4687.499999999999,-307.6026842169011,4687.499999999999,-293.6210143106351
4785.156249999999,-299.80234502102,4785.156249999999,-307.7608485024044,4785.156249999999,-293.7817451077404
4882.812499999999,-299.9829612065711,4882.812499999999,-307.94650884121,4882.812499999999,-293.9623612932915
4980.468749999999,-300.1543400205231,4980.468749999999,-308.1064879704722,4980.468749999999,-294.1337401072435
5078.124999999999,-300.3478903251403,5078.124999999999,-308.3064541086434,5078.124999999999,-294.3272904118607
5175.781249999999,-300.5381785782475,5175.781249999999,-308.4982853086942,5175.781249999999,-294.5175786649679
5273.437499999999,-300.6883491334137,5273.437499999999,-308.6500163256426,5273.437499999999,-294.6677492201341
5371.093749999999,-300.8797080888395,5371.093749999999,-308.8348468590494,5371.093749999999,-294.8591081755599
5468.749999999999,-300.9869057287605,5468.749999999999,-308.9450895669297,5468.749999999999,-294.9663058154809
5566.406249999999,-301.1573753058982,5566.406249999999,-309.0863863641014,5566.406249999999,-295.1367753926186
5664.062499999999,-301.3448538127224,5664.062499999999,-309.2998016375846,5664.062499999999,-295.3242538994427
5761.718749999999,-301.4369246686957,5761.718749999999,-309.3966805073671,5761.718749999999,-295.4163247554161
5859.374999999999,-301.6300070890655,5859.374999999999,-309.5933440062849,5859.374999999999,-295.6094071757859
5957.031249999999,-301.8322604852733,5957.031249999999,-309.7908229005046,5957.031249999999,-295.8116605719936
6054.687499999999,-301.891118220769,6054.687499999999,-309.8521818096668,6054.687499999999,-295.8705183074894
6152.343749999999,-302.0162049679546,6152.343749999999,-309.9696228461534,6152.343749999999,-295.995605054675
6249.999999999999,-302.1015111224421,6249.999999999999,-310.0606426442469,6249.999999999999,-296.0809112091625
6347.656249999999,-302.3002182816831,6347.656249999999,-310.2721889948189,6347.656249999999,-296.2796183684035
6445.312499999999,-302.5275520283662,6445.312499999999,-310.4903167257472,6445.312499999999,-296.5069521150866
6542.968749999999,-302.5695179729436,6542.968749999999,-310.5294256464751,6542.968749999999,-296.548918059664
