spectrum_ve (va=0.02) X,spectrum_ve (va=0.02) Y,spectrum_ve (va=0.05) X,spectrum_ve (va=0.05) Y,spectrum_ve (va=0.1) X,spectrum_ve (va=0.1) Y
0,-107.3864379860157,0,-105.4482377246948,0,-107.386437983696
97.65624999999999,-103.4797546577823,97.65624999999999,-101.9195503285714,97.65624999999999,-112.7350305249601
195.3125,-100.6657274363747,195.3125,-100.8144742459894,195.3125,-121.2755001539696
292.9687499999999,-107.3080234553922,292.9687499999999,-101.6956574602742,292.9687499999999,-107.6561274572905
390.6249999999999,-97.17878894362691,390.6249999999999,-101.6037412310774,390.6249999999999,-108.4779139595794
488.2812499999999,-103.7364894276934,488.2812499999999,-100.2623414101328,488.2812499999999,-108.5235801329057
585.9374999999999,-103.3886928487709,585.9374999999999,-118.9498944337875,585.9374999999999,-123.8367839147433
683.5937499999999,-58.4014582330222,683.5937499999999,-50.43654465117041,683.5937499999999,-44.4345485904854
781.2499999999999,-104.8110728492541,781.2499999999999,-110.6418451974679,781.2499999999999,-104.733051087564
878.9062499999999,-109.6176201243331,878.9062499999999,-106.1622410547898,878.9062499999999,-109.8112394220499
976.5624999999999,-112.64652515303,976.5624999999999,-105.4796322404534,976.5624999999999,-104.6840394999011
1074.21875,-103.7549547769991,1074.21875,-96.63171761546054,1074.21875,-107.2122823059348
1171.875,-98.60545646837595,1171.875,-101.5386943729055,1171.875,-115.1546085712914
1269.53125,-100.9180896217517,1269.53125,-102.5162956750505,1269.53125,-107.7677006824831
1367.1875,-102.1644487750805,1367.1875,-104.5764661750072,1367.1875,-108.0176067876647
1464.84375,-100.019401283771,1464.84375,-103.7325217909608,1464.84375,-104.5594996852157
1562.5,-120.1519050544133,1562.5,-115.8358227677414,1562.5,-109.4451262307843
1660.15625,-118.3758604004103,1660.15625,-105.9149499858656,1660.15625,-115.9640119567578
1757.8125,-103.164430830223,1757.8125,-110.5658864212757,1757.8125,-110.5640920159648
1855.46875,-110.6764576284638,1855.46875,-109.7132819198087,1855.46875,-130.599044474317
1953.125,-121.4017476136921,1953.125,-98.34902378644728,1953.125,-110.2959481957819
2050.78125,-94.48158019890275,2050.78125,-93.27994723653762,2050.78125,-99.57311891606233
2148.4375,-105.8648272393213,2148.4375,-105.1389892498651,2148.4375,-113.737125337051
2246.09375,-105.4572552621889,2246.09375,-112.1536646526277,2246.09375,-129.1689843046712
2343.75,-109.8611186187137,2343.75,-113.1875989392529,2343.75,-106.4984447221756
2441.40625,-109.0676907203503,2441.40625,-102.0979309878334,2441.40625,-122.3659472934835
2539.0625,-106.9202951382169,2539.0625,-105.4533164935255,2539.0625,-117.1105364535666
2636.71875,-104.785998498492,2636.71875,-98.9874966227294,2636.71875,-108.6680207970065
2734.375,-110.934291135788,2734.375,-104.0413339299518,2734.375,-106.3963894577989
2832.03125,-106.3511620330001,2832.03125,-102.1899174028332,2832.03125,-119.3910874172943
2929.6875,-104.0917457035868,2929.6875,-103.6504048580433,2929.6875,-111.8643466322638
3027.34375,-105.5752817944513,3027.34375,-110.1573565943826,3027.34375,-100.7327438266769
3125,-106.6720590789822,3125,-103.177046643174,3125,-107.4988035032426
3222.65625,-110.8208810123593,3222.65625,-103.4803619091009,3222.65625,-119.2480207891997
3320.3125,-98.54753786160168,3320.3125,-101.692478878561,3320.3125,-108.8656832152503
3417.96875,-100.9772177991714,3417.96875,-115.9564481861119,3417.96875,-107.9035695165371
3515.625,-120.2032054441071,3515.625,-111.3854072891617,3515.625,-109.9124869182826
3613.28125,-108.9385124942246,3613.28125,-110.2596282953413,3613.28125,-109.4379913755893
3710.9375,-110.6262324810763,3710.9375,-104.171910473584,3710.9375,-103.4773367659824
3808.59375,-112.8918175397047,3808.59375,-106.3694013366144,3808.59375,-110.6189747158017
3906.25,-105.1672301451628,3906.25,-110.2476562344733,3906.25,-106.1111505080015
4003.90625,-109.0544042092326,4003.90625,-112.5579162515981,4003.90625,-106.3591946940328
4101.562499999999,-109.0975110423976,4101.562499999999,-105.509944674039,4101.562499999999,-124.7380176658405
4199.218749999999,-102.5691062889622,4199.218749999999,-102.6973211864452,4199.218749999999,-110.9891693361914
4296.874999999999,-114.1661602556893,4296.874999999999,-105.9295418529813,4296.874999999999,-113.1351510567363
4394.531249999999,-116.6342886429936,4394.531249999999,-104.3761456107041,4394.531249999999,-102.5907460590125
4492.187499999999,-111.0584518526368,4492.187499999999,-107.7136309863669,4492.187499999999,-107.6643946926433
4589.843749999999,-100.964536611053,4589.843749999999,-111.2852376789188,4589.843749999999,-110.6662416113987
4687.499999999999,-100.4045568605669,4687.499999999999,-116.085941779526,4687.499999999999,-122.330590663092
4785.156249999999,-109.2264396015369,4785.156249999999,-113.328893626211,4785.156249999999,-111.3993859371596
